1,1,1,1;3;11;53;11;15;22;54;54;22;21;24;13;13;,1;5;12;13;14;20;23;24;25;26;28;31;35;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]; _15[2]; _15[2]; _15[2];,1;76;164;165;80;45;166;-1;167;68;65;73;-1;,36.00;,[15]
10,10,3,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;11;3;1;1;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;61;68;72;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;81;77;4;-1;,29.00;,[11][20]
10,10,4,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;11;3;1;1;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;61;68;72;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;81;77;4;-1;,29.00;,[11][20]
11,11,1,20;18;63;63;18;16;8;6;64;64;6;2;2;,1;5;6;10;11;14;19;21;22;30;31;36;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _20[2];,59;184;-1;185;54;46;18;186;-1;187;13;-1;,31.00;,[20]
11,11,2,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;19;17;16;8;6;2;2;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;58;60;62;67;69;74;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;44;57;51;46;18;13;-1;,30.00;,[11][20]
11,11,3,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;19;17;16;8;6;2;2;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;58;60;62;67;69;74;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;44;57;51;46;18;13;-1;,30.00;,[11][20]
11,11,4,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;19;17;16;8;6;2;2;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;58;60;62;67;69;74;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;44;57;51;46;18;13;-1;,30.00;,[11][20]
12,12,1,20;22;75;22;15;19;17;16;8;6;76;6;8;16;10;10;,1;6;7;8;11;14;16;18;23;25;26;27;29;34;38;80;, ; ; _26[1]; _26[1]; _26[1]; _26[1]; _26[1]; _26[1]; _26[1]; _26[1]; _26[2]; _26[2]; _26[2]; _26[2]; _26[2]; _26[2];,62;208;209;66;44;57;51;46;18;210;211;15;21;47;-1;,38.00;,[26]
12,12,2,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;10;10;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;61;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;42;-1;,23.50;,[11][20]
12,12,3,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;10;10;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;61;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;42;-1;,23.50;,[11][20]
12,12,4,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;10;10;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;61;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;42;-1;,23.50;,[11][20]
13,13,1,1;3;3;11;55;11;11;11;15;22;23;56;23;24;13;13;,1;5;6;13;14;15;16;17;23;26;30;31;32;34;38;80;, ; ; ; ; _16[1]; _16[1]; _16[1]; _16[1]; _16[1]; _16[1]; _16[1]; _16[2]; _16[2]; _16[2]; _16[2]; _16[2];,1;86;76;168;169;94;94;80;45;69;170;171;72;73;-1;,36.50;,[16]
13,13,2,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
13,13,3,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
13,13,4,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
14,14,1,1;3;12;59;12;13;24;60;60;24;23;22;20;20;,1;5;9;10;11;14;18;19;30;31;33;37;42;80;, ; ; ; _18[1]; _18[1]; _18[1]; _18[1]; _18[2]; _18[2]; _18[2]; _18[2]; _18[2]; _18[2]; _18[2];,1;6;176;177;36;38;178;-1;179;75;71;67;-1;,34.50;,[18]
14,14,2,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
14,14,3,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
14,14,4,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
15,15,1,1;3;27;3;4;10;16;18;28;18;20;20;,1;5;6;7;11;19;23;26;27;28;32;80;, ; ; _2[1]; _2[1]; _2[1]; _2[1]; _2[1]; _2[1]; _2[2]; _2[2]; _2[2]; _2[2];,1;112;113;5;78;28;49;114;115;55;-1;,35.00;,[2]
15,15,2,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
15,15,3,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
15,15,4,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
16,16,1,2;6;6;6;6;8;43;8;16;17;19;15;22;21;44;21;24;13;13;,1;6;7;8;9;11;12;13;18;20;22;25;28;30;31;32;35;39;80;, ; ; ; ; ; ; _10[1]; _10[1]; _10[1]; _10[1]; _10[1]; _10[1]; _10[1]; _10[1]; _10[2]; _10[2]; _10[2]; _10[2]; _10[2];,3;89;89;89;15;144;145;21;48;52;56;45;68;146;147;65;73;-1;,37.00;,[10]
16,16,2,2;6;37;6;8;41;8;16;17;19;42;42;19;19;19;15;22;21;24;38;24;13;13;,1;6;7;8;10;11;12;17;19;21;22;30;31;32;33;36;39;41;44;45;46;50;80;, ; ; _7[1]; _7[1]; _7[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2];,3;132;133;15;140;141;21;48;52;142;-1;143;102;102;56;45;68;65;134;135;73;-1;,19.00;,[7][9]
16,16,3,2;6;37;6;8;41;8;16;17;19;42;42;19;19;19;15;22;21;24;38;24;13;13;,1;6;7;8;10;11;12;17;19;21;22;30;31;32;33;36;39;41;44;45;46;50;80;, ; ; _7[1]; _7[1]; _7[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2];,3;132;133;15;140;141;21;48;52;142;-1;143;102;102;56;45;68;65;134;135;73;-1;,19.00;,[7][9]
16,16,4,2;6;37;6;8;41;8;16;17;19;42;42;19;19;19;15;22;21;24;38;24;13;13;,1;6;7;8;10;11;12;17;19;21;22;30;31;32;33;36;39;41;44;45;46;50;80;, ; ; _7[1]; _7[1]; _7[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2];,3;132;133;15;140;141;21;48;52;142;-1;143;102;102;56;45;68;65;134;135;73;-1;,19.00;,[7][9]
17,17,1,2;6;6;6;6;6;8;47;47;8;8;8;16;17;19;15;22;23;48;48;23;22;20;20;,1;6;7;8;9;10;12;13;20;21;22;23;28;30;32;35;38;42;43;45;46;50;55;80;, ; ; ; ; ; ; ; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[1]; _12[2]; _12[2]; _12[2]; _12[2]; _12[2]; _12[2];,3;89;89;89;89;15;152;-1;153;91;91;21;48;52;56;45;69;154;-1;155;71;67;-1;,39.00;,[12]
17,17,2,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,16.00;,[17][29][30]
17,17,3,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,16.00;,[17][29][30]
17,17,4,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,16.00;,[17][29][30]
18,18,1,2;6;6;6;6;6;6;6;8;16;17;19;67;67;19;17;16;8;6;68;68;6;8;16;10;10;,1;6;7;8;9;10;11;12;14;19;21;23;24;30;31;33;35;40;42;43;50;51;53;58;62;80;, ; ; ; ; ; ; ; ; ; ; ; ; _22[1]; _22[1]; _22[1]; _22[1]; _22[1]; _22[1]; _22[1]; _22[2]; _22[2]; _22[2]; _22[2]; _22[2]; _22[2]; _22[2];,3;89;89;89;89;89;89;15;21;48;52;192;-1;193;57;51;46;18;194;-1;195;15;21;47;-1;,40.50;,[22]
18,18,2,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,14.50;,[17][29][30]
18,18,3,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,14.50;,[17][29][30]
18,18,4,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,14.50;,[17][29][30]
19,19,1,13;24;24;23;77;23;24;13;12;3;78;78;3;1;1;,1;5;6;8;9;10;12;16;19;23;24;25;26;30;80;, ; ; ; ; _27[1]; _27[1]; _27[1]; _27[1]; _27[1]; _27[1]; _27[2]; _27[2]; _27[2]; _27[2]; _27[2];,38;107;75;212;213;72;73;37;34;214;-1;215;4;-1;,33.00;,[27]
19,19,2,13;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;1;1;,1;4;5;6;9;13;14;25;26;27;28;32;35;39;40;41;45;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,37;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;4;-1;,16.00;,[17][29]
